day_of_week,hour,n,mae,rmse
5,21,101,15.135732632795426,30.886845866234015
4,22,89,13.366540240289197,33.36363193863569
2,21,82,13.101156244284656,27.75772025740156
6,0,108,12.552030750803144,22.24025500182689
1,19,83,12.322252625379175,22.73772876235639
3,21,84,12.124670032344076,22.038736174627534
6,1,96,11.751846712830336,25.657399068271324
5,1,78,11.742259795240857,24.03154075756688
1,21,79,11.699171258145213,23.72730723008239
1,22,84,11.279068746463684,22.161049878754493
3,23,84,11.264419572899012,24.284260314988547
1,0,70,11.135540057304171,28.724453634497795
6,16,94,11.101671910172504,21.02659057240484
3,22,83,10.635499167050297,17.156504750658787
3,18,103,10.565154559876884,20.306610896490618
3,19,87,10.475162121287491,17.53097931327236
1,23,77,10.139250299355513,21.572306067602916
5,0,87,10.096370968384184,19.139505048551978
4,21,84,10.070550632426999,20.04979479780507
5,23,96,10.063569369316374,24.4556432218838
1,18,87,9.914569472619783,16.139635309357182
6,13,111,9.788622078765837,18.50825803038389
3,0,73,9.776558167090407,17.497344246530258
6,20,92,9.707194948679025,22.969305486630642
4,19,95,9.705479083845024,17.09139523959012
4,23,94,9.666761468296812,17.438929969680526
1,20,86,9.56926585102781,21.138097938606368
2,22,91,9.437719016475002,20.778631516774116
2,23,81,9.288925774658553,20.584351106055955
6,18,87,9.20534939310813,17.068101283358022
5,22,98,8.736141752807876,15.257532246943548
5,14,94,8.616542164109923,14.759876453184457
2,19,91,8.553635674254801,17.781352605977197
6,19,89,8.415773021755141,14.67135460376387
5,16,105,8.410721884722083,17.26826212945211
3,17,104,8.315512892562307,15.570641156342313
6,17,96,8.278328358064073,14.39845356528002
0,21,81,8.26879820905846,15.327616210125926
5,18,100,8.231676612872326,15.049438880236094
2,16,99,8.224899423103615,16.268280404351767
0,16,109,8.20889151364188,17.809803944223113
2,20,84,8.168346837745371,13.849950173564705
5,17,98,8.135645978475402,16.324367741586478
6,3,86,7.988142206165491,18.1812291204251
6,12,106,7.914647551964798,15.857371682855439
2,0,73,7.862775024827724,16.11258415464328
6,15,96,7.807942214169327,13.84112297292055
0,19,87,7.75148409871613,16.832500379974128
0,18,98,7.674245830561844,14.756528628203288
4,20,86,7.560070276031022,11.964107162752208
1,15,101,7.552598565732456,14.6158403126515
5,15,104,7.548170651373858,14.5742845586709
5,19,98,7.464136158736298,13.34147962578493
1,17,108,7.4534137726767025,16.082632459495528
5,2,72,7.412380103186649,17.25471158396638
0,20,84,7.312789296180576,15.9478058636777
6,21,81,7.200717331586664,14.337340166124244
0,17,102,7.148372906800651,13.812645727158639
0,22,83,7.147126296014021,13.80317890042039
0,23,78,7.08272405151958,16.756336069816513
6,23,95,6.856165535879135,12.032895867408188
6,22,90,6.798493574230477,14.607762313414032
5,20,88,6.760973027750442,10.749318903041118
6,11,111,6.7147913472711895,12.731520946008791
4,14,119,6.713179960261379,13.695511615496006
5,13,109,6.699343153948923,12.11278594385737
4,18,102,6.6848402298251175,12.317404163434981
2,18,95,6.609432909457976,12.07420724274094
6,14,112,6.378575078630196,12.17164635998061
3,20,86,6.3661538019056705,10.528038769837686
6,10,106,6.314433695080239,12.413028766971879
5,10,118,6.313190519211003,12.18175653514034
2,15,115,6.2962391022776965,11.89654530845781
2,17,103,6.235815602913655,12.849471150673123
0,15,122,6.197895418525915,13.524511915300668
2,14,113,6.1608785871080665,13.338567131310942
5,12,108,6.148788157742974,10.888440378433277
6,2,80,6.117355188523659,11.53186969246889
1,16,116,6.093252560828473,11.536280089103206
4,17,119,5.964943713892364,11.405475837317356
